season,doy,treatment,timestamp,co.flux,co2.flux,Tr,PAR,PAR_above_canopy,TL,TA,VPD,SWC,g_tw,g_tCO,co.ci
Autumn,288,irr,2020-10-14 12:45:00,0.17724853425054593,-2.2547941353926797,0.6190567322962316,157.51833958333333,134.07584725,27.19084863194444,28.122990958333332,1941.7630212835184,12.580829000000001,0.033034356955339954,0.03965202749644679,109.4015065632826
Autumn,290,dro,2020-10-16 12:15:00,,,,262.2506566666667,89.43091916666667,28.720246493055555,29.42495266666667,2639.94450383375,8.888690833333333,,,
Autumn,290,irr,2020-10-16 12:15:00,0.4242910976047739,-2.083332519302818,0.6962904397426183,132.80373583333332,188.66800333333333,26.769529238425925,27.939353416666663,2258.728124574126,12.440537333333332,0.0312276946403974,0.03748344210864144,98.83355978851138
Autumn,291,dro,2020-10-17 12:15:00,,,,452.2961975,114.81377166666668,29.611069050925924,30.89191175,2793.15929784551,8.882027500000001,,,
Autumn,291,irr,2020-10-17 12:15:00,0.4736503295171142,-2.1340775001222383,0.7009040499378915,148.27402583333333,105.06447533333332,27.796651969907405,29.12493183333333,2305.223554481139,12.384863333333334,0.0290906173027225,0.034918250678698366,125.76895860376496
Autumn,292,dro,2020-10-18 12:45:00,,,,224.26325624999998,87.25003058333333,30.42481068287037,31.577993333333335,3063.3125027686965,8.918325416666667,,,
Autumn,292,irr,2020-10-18 12:45:00,0.4699901507004439,-2.293060007494045,0.69073901353412,163.82319583333333,92.45609416666667,29.498408902777776,30.61949620833333,2712.267998569518,12.38345,0.0255383240437001,0.030654337499682188,149.19514421034557
Autumn,293,dro,2020-10-19 12:45:00,,,,230.78850708333334,121.63786458333333,31.25946249421296,32.645550125,3130.517943985508,8.94854375,,,
Autumn,293,irr,2020-10-19 12:45:00,0.3605967818934287,-1.923816196372205,0.6519534755052212,163.48054083333332,108.54458400000001,30.461402828703704,31.10508766666667,2982.7927454560727,12.403123333333333,0.0222317104749111,0.026685320263263694,164.9476906859212
Autumn,294,dro,2020-10-20 12:45:00,,,,296.7384675,165.64454466666666,31.610053495370373,31.047488416666667,2668.2608897135633,8.939742083333332,,,
Autumn,294,irr,2020-10-20 12:45:00,0.10762212663769105,-0.48670412089167364,0.0015675593755777508,249.10217541666663,184.2323475,29.021288675925927,29.083988666666666,1697.113268979625,12.424762333333334,0.0015911857821158501,0.0019099431077078642,170.48946194295277
Autumn,303,dro,2020-10-29 12:45:00,,,,364.2448875,156.64230750000002,29.303793778935187,31.677049791666665,2464.3044704900053,8.966600416666665,,,
Autumn,303,irr,2020-10-29 12:45:00,0.5255727339969406,-2.904864662883525,0.7875374578023877,303.1954241666666,188.067468,28.632821216435183,29.941815916666663,2322.465750663419,12.280803333333331,0.0357684640098387,0.04293384975954638,160.29930627993008
